forme	lemme	catégorie
oreilles	oreille	NCFP
.	.	PCTFORTE
Les	le	DETDPIG
autres	autre	ADJPIG
voitures	voiture	NCFP
suivirent	suivre	VINDPS3P
,	,	PCTFAIB
la	le	DETDFS
file	file	NCFS
reprit	reprendre	VINDPS3S
son	son	DETPOSS
allure	allure	NCFS
lente	lent	ADJFS
dans	dans	PREP
le	le	DETDMS
noir	noir	NCMS
,	,	PCTFAIB
battant	battre	VPARPRES
de	de	PREP
nouveau	nouveau	NCMS
du	de le	DETDMS
cahot	cahot	NCMS
des	de le	DETDPIG
roues	roue	NCFP
les	le	DETDPIG
façades	façade	NCFP
endormies	endormi	ADJFP
.	.	PCTFORTE
Les	le	DETDPIG
charretiers	charretier	NCMP
recommencèrent	recommencer	VINDPS3P
leur	leur	DETPOSS
somme	somme	NCSIG
sous	sou	NCMP
leurs	leur	DETPOSS
limousines	limousine	NCFP
.	.	PCTFORTE
Celui	celui	PDS
qui	qui	PRI
avait	avoir	VINDI3S
interpellé	interpeller	VPARPMS
la	le	DETDFS
maraîchère	maraîcher	NCFS
,	,	PCTFAIB
s'	se	PPER3S
allongea	allonger	VINDPS3S
,	,	PCTFAIB
en	en	PREP
grondant	gronder	VPARPRES
:	:	PCTFORTE
Ah	ah	INT
!	!	PCTFAIB
malheur	malheur	NCMS
!	!	PCTFAIB
s'	si	SUB
il	il	PPER3S
fallait	falloir	VINDI3S
ramasser	ramasser	VINF
les	le	DETDPIG
ivrognes	ivrogne	NCPIG
!	!	PCTFORTE
Vous	vous	PPER2P
avez	avoir	VINDP2P
de	de	PREP
la	le	DETDFS
constance	constance	NCFS
,	,	PCTFAIB
vous	vous	PPER2P
,	,	PCTFAIB
la	le	DETDFS
mère	mère	NCFS
!	!	PCTFORTE
Les	le	DETDPIG
voitures	voiture	NCFP
roulaient	rouler	VINDI3P
,	,	PCTFAIB
les	le	DETDPIG
chevaux	cheval	NCMP
allaient	aller	VINDI3P
tout	tout	ADV
seuls	seul	ADJMP
,	,	PCTFAIB
la	le	DETDFS
tête	tête	NCFS
basse	bas	NCFS
.	.	PCTFORTE
L'	le	DETDMS
homme	homme	NCMS
que	que	PRI
madame	madame	NCFIN
François	François	NPHSIG
venait	venir	VINDI3S
de	de	PREP
recueillir	recueillir	VINF
,	,	PCTFAIB
couché	coucher	VPARPMS
sur	sur	PREP
le	le	DETDMS
ventre	ventre	NCMS
,	,	PCTFAIB
avait	avoir	VINDI3S
ses	son	DETPOSS
longues	long	ADJFP
